VM Identification (UUID),AMU,AVMU,ADU,CLS,TC,RL,GL,Class
60 65 A6 00 0C 88 B1 00-5D C0 81 28 B2 BA 81 BB,40.44332003,86.66311462,96.09271931,79.83977742,19.8740287,78.83019805,89.46392495,Partially Malicious
6D 22 5D 17 B4 B9 91 28-4A 83 4D 78 16 6E 72 94,2.777568044,74.31786821,32.24626412,60.33039939,52.76397146,93.28768672,32.42598026,Partially Malicious
39 97 A8 4E 06 9A 62 BC-7C 27 09 B5 A1 8E 8D C5,39.8952276,62.54857479,29.62948032,89.58737078,35.24796352,5.134437253,42.26865243,Partially Malicious
17 A4 03 1F 87 21 5B 66-38 08 9C 02 08 96 57 14,89.94117687,1.974208113,76.66725246,49.38553198,92.66267384,66.44191059,79.93417779,Partially Malicious
40 3A 26 7C 44 B6 49 C0-83 23 1E 76 22 7A 64 9B,25.11211049,60.51391017,29.93602045,50.58784513,43.99864052,64.57709576,42.46031744,Partially Malicious
69 48 73 16 8A 24 05 27-8C AE 76 7D 4D 9D B6 86,4.1903508,10.84036131,29.8105834,55.33136558,41.56794956,91.24632936,21.44815877,Malicious
B5 40 04 1B C0 06 96 55-4D 5C 8C 30 02 96 41 90,12.45384667,67.29574173,57.70044481,21.8959321,94.39960738,77.02894546,87.64928731,Not Malicious
20 57 0A 63 9A 51 6D B4-25 91 B5 80 34 95 83 8A,33.3745303,93.69777795,18.48961931,77.60364936,37.56305454,20.44875815,64.69576914,Partially Malicious
B1 80 67 43 35 78 C0 79-89 9D 01 7B 70 40 A3 5B,52.47213674,39.94451329,44.92713488,67.32369484,45.68024679,1.137204444,58.61944784,Malicious
0B 60 AB 6A 4A 76 77 B7-65 32 8A C1 62 91 86 19,36.35951173,64.98615298,89.15342524,49.2785639,72.48169807,32.17762722,39.74348207,Not Malicious
12 25 16 4B 33 37 4D A9-B5 84 8A 76 1B 44 BF 11,65.38007666,82.83361369,83.06706111,35.8248246,50.25802706,22.09150186,28.47885806,Partially Malicious
2A 66 B9 7D 30 26 AD 68-5B 7F 55 7F 5D 4A 99 BF,30.85250302,63.1611241,36.56549906,6.226900823,77.48922097,82.25996852,77.08774194,Partially Malicious
90 78 95 C4 48 A4 6C 0E-60 B7 B4 53 1E 2D 17 36,43.89917801,97.99104811,92.93978548,12.39266533,70.73429214,97.268165,31.11776657,Not Malicious
97 38 7A A4 48 7F 3D 7F-09 67 20 74 94 3D 18 84,58.77825091,96.5392081,61.44567254,55.27860083,71.93677109,57.75008141,56.20535819,Malicious
AE 3D BA 63 17 6C 00 4A-1D 03 4A 6B 92 03 41 1F,4.267308685,95.13928715,70.26087769,15.97484169,39.86325399,64.11389057,66.2653686,Partially Malicious
8F 8B 03 2A 90 27 30 31-89 1C 34 24 49 0A C7 09,40.03342769,74.30145455,17.28748494,51.07738304,34.61094529,35.99904497,70.9450922,Not Malicious
3E 6D 3D 37 87 54 6D AE-2E 8B 59 B4 78 16 99 38,32.48753447,2.121490576,85.1161162,1.967597887,10.2676589,43.25141267,63.31664366,Partially Malicious
15 79 BD 25 B6 6E 5C 24-0F 52 3A 93 48 5E 99 AF,3.322431114,84.09760525,93.48268167,84.95133715,7.242989514,84.07067599,37.9732438,Not Malicious
C5 12 6E 98 51 54 AC 43-7A 9B 3A B7 B8 6C 1A 66,20.62042895,6.274973101,51.26053484,76.50775359,44.80610596,92.45591954,21.64600273,Partially Malicious
A8 45 9F 46 42 51 AA 0E-6E 85 4E 89 7C 8B 99 25,72.18999063,90.30535688,73.42510108,41.20772516,92.06883619,38.53977025,26.03544645,Not Malicious
3D 84 A1 A6 BA 8A 23 13-5F 44 9A 1A 03 78 68 07,85.05818324,35.83077941,8.3367665,66.34331455,45.60148533,93.70658019,88.09840011,Malicious
47 97 94 96 54 BD AB 7C-9E 78 B9 54 4C 12 C7 95,97.90448977,84.69335684,53.01968535,44.4073922,49.31444681,10.92679877,49.81960192,Partially Malicious
07 BC 90 6D 57 AB 42 74-5F 46 A0 5F 7D 91 8F 4A,26.21296679,9.150512837,96.17753889,43.07846565,81.32289381,92.37567195,90.16201973,Partially Malicious
46 35 68 4C 43 11 99 0B-12 00 6A BA 17 6C 0B BC,64.51347245,96.89688101,47.88643828,38.78940395,10.19322997,77.87098165,28.39899547,Partially Malicious
1A 7D 08 7E 85 7B 20 26-4C 35 25 84 0D C5 21 92,17.56644799,62.36804443,8.257403342,57.90828832,3.07550269,47.26748068,42.2179542,Partially Malicious
2C 22 85 50 30 0C 36 5C-33 88 8E 2E 80 26 00 86,95.90123692,82.44571405,6.058117444,68.48633738,60.60944932,80.33416394,94.68027829,Partially Malicious
9A 64 75 B6 52 72 79 11-BE 98 6E C0 8E A2 34 3A,5.094336007,42.17615224,27.01209774,36.40868538,41.87141863,42.82443958,75.8718988,Not Malicious
77 9F 39 4E 1E AB A1 56-8D 0F 32 69 2A 3C 78 86,99.74591547,73.20098066,6.585368108,30.32091703,59.31633036,46.65361289,70.91806773,Partially Malicious
11 06 99 14 88 44 6D 82-B5 12 A0 38 0B 6D 6B 99,25.0551122,2.938733797,7.747920394,83.04893838,7.148953355,79.13618708,16.81094112,Partially Malicious
A4 B4 75 6F 25 54 11 31-A8 88 75 3F 45 1B 74 00,10.1226283,36.623295,8.008148058,92.14308102,75.35287175,5.033260472,36.40809274,Partially Malicious
48 49 79 C1 29 6E 8D 94-8A 9D 28 51 6C 6F C2 60,92.05394741,5.304808834,87.62635626,40.9650893,14.19526051,61.07187463,77.71235049,Not Malicious
B8 54 32 73 5F 71 6F 3A-31 17 03 86 31 92 09 A6,38.4726195,99.44476987,4.680451139,95.4971016,1.772511776,56.11683223,32.01913987,Not Malicious
77 20 2A A4 1B B3 26 58-A7 17 A7 9A 4D 65 7C B8,43.28357345,14.91019209,63.29506317,16.07698635,31.5941593,30.16213922,44.52287955,Not Malicious
23 C7 A9 45 74 93 34 4D-B6 77 BE B5 AB 21 3C 3B,14.37072737,50.70618404,34.47483693,1.699956214,62.91235095,78.60717047,53.71128619,Not Malicious
73 98 08 9C 51 60 94 66-38 19 37 61 0B 10 91 7B,95.59329525,10.61371119,8.342017554,46.91585319,18.68347785,1.077338525,9.527545646,Partially Malicious
A0 15 7C 37 15 41 78 86-08 08 4C 60 A5 84 95 0B,92.20320531,6.270473012,26.57879535,46.37723113,62.40001082,56.35430745,79.10350342,Not Malicious
BA 06 A0 2E 2F 73 69 3F-40 AD 8E 9A 2B B2 6B 88,7.721607418,95.82913348,32.39259153,70.34129355,85.18410396,37.70055911,54.04172201,Not Malicious
A9 74 C5 AD 00 00 69 98-9C 6F 31 1F A7 BA 85 B3,63.70289896,75.61797864,90.51529197,94.86929993,84.4393492,53.56343178,45.58329042,Partially Malicious
3C 08 AF AB 51 BA 22 A9-51 43 C7 C0 58 9D 13 31,62.49480397,2.542351314,26.78778732,77.01329951,59.64073145,55.9489065,94.7570188,Malicious
27 37 B8 5A 51 3D 4C 83-00 66 59 7F 10 43 56 0E,17.89751055,99.20501818,30.48272316,11.840956,45.10794373,70.2084811,84.6253078,Not Malicious
73 41 20 05 BC B3 52 5B-7C 13 84 4F C0 90 75 A9,92.53753188,19.94975418,44.45178298,52.03048205,9.649489458,15.73123391,73.89588508,Not Malicious
93 C6 A2 65 4E 59 40 85-31 7F 36 B9 BA 5D A7 A7,17.67566101,12.05991355,27.47626159,60.86480411,88.75489286,95.47967585,45.98775877,Not Malicious
22 BD 07 AC 83 60 80 63-19 BB 02 A2 5B AC B6 9E,5.89799299,79.57567185,94.17393881,15.23972019,76.47417931,82.7584082,39.48295816,Partially Malicious
4F 37 B5 4E 0C 0B 32 1D-12 20 82 74 9F 87 21 B6,39.33565114,64.53134614,9.48936622,14.63902795,99.88328042,67.18633527,4.997847669,Not Malicious
1B 14 44 7F AE 52 84 28-23 C0 59 4C BD 57 1F 85,80.18247463,14.84758202,5.733201712,96.84711095,92.36311203,21.96061433,99.10393545,Partially Malicious
0E A1 AB 1D 79 5E 66 2D-16 9F AD A5 7B 5C 24 1C,3.232821162,26.63272298,33.88252532,94.687974,33.84680567,52.30614853,42.1174366,Not Malicious
C0 7C 9D C2 04 27 76 C5-AF 60 50 5E 10 26 82 63,26.7098858,4.241055394,59.14459922,67.23889495,83.96470742,22.03752671,97.38992866,Partially Malicious
95 83 4B 1C 21 5F 57 0D-5C 5A C3 A2 62 87 2F 65,52.49665383,51.85379822,86.0961087,68.14001207,81.86838157,34.35254456,62.1116399,Not Malicious
6C 9A 87 7B A8 AC 05 5B-03 55 8C 25 BD 43 7C 2F,47.19133798,2.214950798,83.79668376,36.48092831,52.85583589,45.19118373,66.42261083,Not Malicious
16 1E 7E 2B BF 29 56 21-59 19 5B A1 07 33 75 01,34.23582437,48.01176029,12.67128402,15.40587509,42.43578125,93.7804343,63.90504712,Partially Malicious
07 73 61 C3 6D 11 9A C7-65 AA 73 2E 90 34 7E 4B,87.75112301,49.38004373,35.79766546,85.84642889,40.67794542,96.81759296,7.878029126,Partially Malicious
1B 99 BA 01 63 A7 87 90-21 8D 67 C7 58 A0 9E 02,57.97071608,3.481407552,57.73186935,1.744803563,7.19614347,40.07151081,31.66691533,Not Malicious
B2 AC 0D 1F 27 94 C4 44-52 B0 01 5B 81 8F 1F 0A,43.5070642,28.83930139,44.63877201,61.73802412,65.6400419,16.14498149,91.47967321,Partially Malicious
9F 21 41 9C 6F 31 4D 15-8F 86 93 50 3B B3 8C 24,43.35338414,42.41453247,30.30932551,93.41070683,67.42631479,13.9006429,51.56837094,Not Malicious
B0 4B 0F A5 85 48 90 C0-55 82 B3 0E 22 02 A1 B0,85.75216607,80.06752398,99.69378077,8.180099505,93.37477248,73.42420831,96.77191034,Partially Malicious
46 9A 7F 4D 67 0D 84 6B-96 4A 1B 3A 49 BF A8 4A,6.489242263,2.366655187,20.70283919,30.52976552,92.17966087,43.86041565,21.5908005,Partially Malicious
6E 35 66 BD 2E 3C C6 1E-23 82 5C 28 1E 08 70 24,16.06739101,93.89924447,58.31439614,44.44826656,86.57124619,6.414284638,74.4073982,Not Malicious
49 5E 60 9D 78 5E 7C 7C-08 C6 6D 78 9F 2F 34 22,24.46047877,63.35614336,65.58105903,82.78669158,69.55773949,5.623177106,59.23279032,Malicious
20 5F 62 09 1F 13 6D 20-78 26 28 07 6D 97 55 B6,23.70531853,48.76546836,69.25599989,62.28108728,82.66279549,85.3059972,60.67194742,Not Malicious
26 4C 6A 12 98 1B BE 2D-9F 0A 5E 5B C4 9B 19 AC,97.31586372,4.98085049,81.1085754,5.573542788,6.89660107,24.0109088,27.21809715,Malicious
68 C5 58 C5 AA 02 92 0E-B9 0D 76 1D 15 88 52 2C,74.11810173,58.62867281,47.18256095,41.32276646,67.10378639,12.38788327,19.53507792,Malicious
50 97 65 7A 6E 4A A6 60-28 09 34 B1 4F 39 3E 15,53.31778315,6.0971954,15.60815976,16.38788269,68.60007708,79.6701648,36.77144375,Partially Malicious
18 85 74 7F AB 7C 04 68-2D 6D 44 C3 5D 31 3B 53,13.92060146,96.2164414,36.14474639,77.77213508,21.30711965,9.449084365,93.39244598,Partially Malicious
5C 3D 5F 4C BC 50 6E BC-2C 48 14 73 75 99 BB 81,6.771381063,59.87551462,56.61264864,78.44482815,56.86416561,57.82787882,12.89021445,Not Malicious
7A 56 64 7A 9A 8C C7 AB-4C 13 AE 3F 3B AA 52 02,86.34278199,39.0459089,21.05827695,19.4311132,63.33132285,81.0008051,19.00655442,Partially Malicious
1A 2E B9 78 95 85 BC 2B-3A 4C C3 9C C2 42 9A B4,4.148204311,85.29037452,84.38208103,19.39506096,52.42337037,57.17322078,44.50926421,Partially Malicious
6A 61 C4 B2 6B 39 58 9B-26 55 4E 3F 84 48 52 A6,28.83798328,67.08771794,88.39773909,50.4503733,39.42353598,47.44069505,87.46914357,Not Malicious
48 08 08 5B 97 C3 B4 5D-95 48 59 58 8B 21 6A 9A,33.11440464,1.445939655,38.73563372,14.63405039,31.34307433,24.79095044,26.34380813,Malicious
0D 88 71 9E 2D 04 59 30-0C 59 39 63 1C 23 80 68,2.936171096,38.70817711,37.20560543,22.09405062,64.54433967,14.30341398,28.64682527,Malicious
A4 45 54 A8 38 4A 41 1E-BC B8 B8 3D 29 04 24 B8,96.66817729,29.20137802,2.129375889,24.53664161,66.82439854,76.32198864,21.33878771,Partially Malicious
05 0A 9A 82 18 58 AD 12-94 75 40 51 1A B4 B6 5D,29.2879794,13.2196177,74.25200214,96.19133737,84.90700026,79.2971295,98.26465617,Partially Malicious
7B 0B 44 4A 5A A2 7A 0C-4B 2D 49 17 3F 93 6C 60,88.06923166,37.22120075,98.76751978,58.93119064,15.79002391,64.08316713,21.47374816,Partially Malicious
A4 29 B8 1D 95 7F C7 23-9B A2 43 90 53 A1 7E 78,63.05513468,39.29603711,33.60833313,51.73067405,19.09817671,12.42649189,19.99161427,Malicious
A5 8E B0 37 9D 1C 72 90-60 9B 68 AC 62 05 28 62,19.91252725,71.24823588,84.90977508,80.47046119,97.29238813,52.74947978,80.30134023,Malicious
64 BD 81 52 BE 22 80 BA-95 79 22 76 5C 56 0D 6C,17.24312772,26.23420492,84.06496718,13.64865599,11.23452849,29.7972555,62.03514385,Not Malicious
9A 64 C0 71 95 C3 06 4B-8C 04 5F 1B 6B A6 7B B1,84.26868043,31.87542575,88.08609492,64.52315772,45.66906539,87.86762637,23.76202884,Malicious
AA 1D 79 54 5E 9F 0F 9A-AB 55 3E 2D 09 B6 81 A7,44.87499539,6.69133745,87.3864172,63.1532299,52.79862931,42.69891707,91.5273354,Not Malicious
A7 35 8B B2 39 72 85 C5-B9 B6 8C BB 20 04 37 5E,40.29608112,61.89046776,26.9467145,54.77185519,93.84529765,75.86493136,28.95018985,Malicious
5A 44 7F 07 5B 04 5B 0C-31 76 65 44 A8 13 2D 80,14.0315857,77.11418108,64.62545419,71.23920259,24.9010582,27.34055411,20.04519074,Malicious
41 54 0F A0 B8 A1 02 B8-BF 67 A4 56 87 B9 96 AB,16.82842344,20.37233927,28.10726855,19.44050378,12.89025059,84.90420686,3.290231689,Partially Malicious
A0 72 53 05 AE 71 A5 36-08 01 A7 48 B5 4B 05 22,16.46675742,93.56738465,10.77961514,48.85712466,25.71953184,48.84926496,30.62100432,Malicious
78 C0 62 2F A2 A3 BB 9E-6A 83 2C 9F 4D 2A 83 4B,63.60894683,24.80219364,97.54361352,8.945707627,42.96023435,21.18756652,31.5868028,Partially Malicious
40 3C 8B 85 5F C4 4A 6A-62 63 3B 4E 56 8B 51 A9,7.509346136,92.07248385,70.3087242,70.7466072,23.33093966,19.77334882,94.41680593,Partially Malicious
9C 0B B6 08 51 AD A0 6A-64 4E B2 C2 6E 7F 59 25,10.68639215,84.22776388,80.63547401,25.11469234,84.3794281,84.37379785,28.93127761,Not Malicious
C0 B4 16 26 12 46 59 C6-BA 5D A1 2C 21 7C 0F A7,85.58638497,50.77274373,4.997717021,13.26158499,95.60083873,73.70801398,65.40244205,Not Malicious
39 87 AD 86 0D 7F 00 BD-44 02 33 05 87 4F 9E 20,22.25909197,84.66237405,2.574425509,11.20170837,31.42679422,17.86216536,32.71653475,Partially Malicious
23 88 78 B8 47 2E 0D 7F-89 AF 7D B1 22 63 BF 05,32.06890477,60.2728209,28.29573759,36.13857589,35.39085971,3.377609221,83.58628392,Partially Malicious
87 75 60 C5 C0 00 23 4A-5D 70 95 46 7B 63 80 54,82.24502537,7.498870328,3.023244294,77.52235767,24.40550718,92.2971742,60.74216372,Partially Malicious
B2 BE C7 61 05 85 14 04-1C 02 1F 4B 1E 4D 78 B9,46.6502078,75.32846817,93.40941837,3.813984701,43.00929677,6.667073725,85.67034777,Not Malicious
B1 2A 49 3C BD 00 AE 92-57 83 90 29 5C 7E 28 7B,59.33299212,0.469915952,58.1950586,38.06362487,44.79421847,7.163613196,34.52938135,Partially Malicious
45 BA 47 5F 4B 44 36 14-0A 8C 23 78 50 42 C3 A0,56.16994601,76.31753177,84.518986,79.63610657,29.75940983,6.942316909,29.376159,Malicious
12 97 21 4C 7A 32 02 33-7C 4D 45 07 40 C4 15 7C,23.20005558,95.09283361,0.157780717,97.0795453,2.394449244,24.66304341,90.81681076,Partially Malicious
A6 AB 25 60 14 98 2A 15-5F 84 7E 05 B5 72 9B 8C,61.71496281,58.94544001,55.43715432,9.424146912,62.98220279,91.25348393,80.11741408,Not Malicious
3A 3D 9D 0D 40 BC 10 40-AA 59 B3 7E A8 54 9B 25,91.86117535,58.36503476,19.15388355,51.12369391,80.12370255,92.23426961,74.61265825,Not Malicious
A1 91 1C 92 A5 00 84 21-AF 5C 76 78 41 24 8B 61,48.58673336,49.28488501,87.19868275,25.91095624,61.83472817,26.92981379,58.78883503,Partially Malicious
A1 A6 97 88 AC 4D 43 88-A5 95 87 7A 7B 0E 70 AA,32.66526279,2.353286572,51.84332842,2.780216334,63.88900991,84.08212641,87.0844168,Partially Malicious
90 13 A6 7A 2A 8C 82 16-23 88 5A 56 00 2D B3 06,48.39131063,54.7032298,66.33848809,22.93518201,54.92504553,20.89404341,76.18766329,Not Malicious
98 9F 7D 13 B9 B9 98 9E-7D A4 6B B0 91 30 0B C1,30.86205339,18.57711055,61.99517451,73.69304792,21.82634038,93.50215125,4.570748262,Not Malicious
56 6A 16 8A 1C 7C B1 4E-1D 20 BC 4B 6A 78 A7 B6,41.06939909,76.30418782,21.98028718,83.08547884,12.44557858,61.84731565,28.12621202,Malicious
8E BD 5F 1B 19 A6 94 16-28 24 43 27 41 11 0D 69,63.33521688,24.88441372,6.782485189,95.75162652,70.91262963,60.2108858,80.10317888,Malicious
1D 5F 4B 9B A3 3C B6 6A-88 3E 8B 43 A5 64 00 7D,3.403098236,21.43610674,42.12179885,4.92677328,76.0555752,94.15045978,73.74077478,Not Malicious
09 0D 20 79 53 7D 8F 7D-BE AC 50 11 6E 85 60 BC,21.52923341,49.53852078,54.05535318,85.28524495,26.85056087,9.183879218,58.61939991,Not Malicious
33 96 2E BB 1F 1A 64 66-C4 7F 43 11 9F 7D 63 29,50.29389095,66.25225258,17.74733336,63.09579823,33.17635123,0.748392396,40.02785692,Malicious
C4 4A 98 00 B3 65 BD 49-5C 9B 67 19 3C 15 2B C1,18.50908723,59.32294249,34.69335395,93.49756142,20.16305905,29.7163638,65.86916257,Malicious
3F 98 B4 C4 7B A5 91 70-8C C1 B4 44 BA 99 A7 B4,9.246957787,19.21819648,6.264484955,17.61505997,90.91300245,78.76864464,5.581032337,Not Malicious
15 BD 39 4A 1D 3F 80 73-B5 4A 86 94 4A 34 2B 41,61.98590416,8.582834889,43.74688523,41.70114603,6.249218466,50.27943027,51.23617652,Partially Malicious
5B 0B 96 77 28 97 A4 9C-2B 16 9A 28 9B 40 95 35,99.76062433,17.33019536,95.63471577,33.04437244,76.50830581,86.79790181,73.92767499,Malicious
BB 67 A3 89 92 80 5B 0A-A1 2C 48 12 A3 6E BB BF,37.45457024,35.89343003,85.53386145,11.04397662,81.93163027,64.42378755,73.37920362,Partially Malicious
56 86 28 5E 3A 1F 5E A5-34 52 A7 09 91 68 8E 5C,2.859277849,59.85943051,87.8266832,89.36610219,86.47061626,82.05225952,74.65635234,Not Malicious
60 2F 89 5B 32 22 3A B4-3F A6 51 A4 A5 5B A7 83,46.62329272,37.01747593,26.0287433,82.8393069,47.43040334,84.65086993,58.17609936,Not Malicious
8F AD 47 2D 6E 1A 58 60-42 07 85 BD 4C 6D 89 81,99.79902334,44.88382729,48.80986424,70.86481179,81.03339892,95.35849733,99.41295667,Partially Malicious
3A 70 25 22 7C 04 10 66-7D 71 2E 1C 12 5E 19 3B,66.87408659,94.72203869,28.20737835,2.446674693,52.04903531,84.59572059,84.58386182,Partially Malicious
5F 2E 08 A8 5D A1 0B 7D-3C 0C 52 AE B2 93 44 17,72.78901498,38.27598864,13.90047035,53.26578655,12.87482856,80.48786887,63.51640982,Partially Malicious
29 11 C5 11 5B 3D 79 97-4D 8F 5A 94 08 17 09 B0,49.70590045,85.75784975,20.59050153,41.16789824,62.49521722,60.58400939,57.18731051,Not Malicious
AC 9D 9A 04 8E 0B 3E 9C-2A 91 74 7F 44 37 71 4C,82.52164536,89.72068937,90.85892004,46.47348307,83.29540848,84.20181805,61.23610747,Malicious
AC 86 55 B3 02 4F 5F 2D-A5 45 46 45 6C C6 8F 51,1.394801658,29.16148123,8.558316132,88.77881541,79.99898238,12.37754164,50.8112392,Not Malicious
39 51 9F BF BA 31 BA C7-A2 10 83 56 74 22 31 AF,48.63107105,47.16512555,26.35507373,0.349581325,76.69618431,12.27523537,63.01868209,Partially Malicious
5C 4E 9D 55 89 B6 71 72-6D A7 C2 B2 22 81 55 C3,93.52728135,81.63276505,45.8060525,6.95179299,52.49137917,37.90903776,24.13081017,Partially Malicious
45 39 33 27 75 55 6A 8F-0C 9A 87 0A C0 76 A5 84,33.95084685,87.38167962,82.55013196,82.84722038,39.58507675,7.869396673,59.10175977,Not Malicious
22 AE 61 A1 35 52 57 3E-BF 55 7D 9B 8F 77 2F C4,32.94565262,2.023700712,75.07056349,92.86324102,48.8843339,19.2544029,11.09272417,Malicious
95 26 85 A3 77 1C 2C 9C-31 C2 60 C2 3F 9C 05 05,63.95240952,81.00863943,81.26258349,88.70401519,75.10953298,84.04610581,73.34976707,Not Malicious
5B 5A 22 44 8B 74 54 4C-36 4B 73 C6 84 26 39 22,94.97591969,15.07540876,95.54685566,74.21578218,11.71830712,38.04811812,28.6188038,Not Malicious
B9 6B A5 2D 1A 23 BB 07-3E 08 41 C2 88 C3 5F 80,6.975199667,12.18013018,22.73378422,75.37661183,4.948964927,9.378141271,56.49027841,Partially Malicious
BB 6B 46 7D 45 A7 16 10-15 80 1A 9D 0C 20 5B 10,65.69187508,22.40577791,79.15550729,39.6877875,66.98439939,70.32052232,10.67605396,Partially Malicious
84 6B 0E 5B 89 18 92 A5-A4 BF 30 BD 7E B3 8B 40,21.05607275,38.45235594,37.02037293,67.93836063,84.09637159,54.60347105,87.98488588,Malicious
15 AB 18 84 62 9B 52 56-AF 48 33 72 72 10 95 BA,3.336799682,96.52795375,3.891213552,42.4120653,20.6249672,34.49895348,28.97909512,Partially Malicious
2F 1D AF 7D 03 71 52 2A-C1 28 A6 41 53 8C 58 B4,31.31500064,81.14648723,93.92576358,25.58370519,61.38627126,18.42464106,77.43989569,Not Malicious
B6 0C 3D B8 5A 77 27 21-19 1F 27 6F 8D 08 B7 BE,85.50657616,97.34259257,49.6157038,50.71333283,67.61380225,57.38587665,97.46755766,Partially Malicious
57 7F 93 A0 29 0B B1 98-AE 3D 12 83 91 3C 92 A4,78.83923496,49.45021631,2.299476695,28.91634347,66.8011799,32.31613417,85.68361286,Partially Malicious
38 34 31 6E 0A 4C 3F A8-59 32 19 04 81 BD 0C 7C,24.79537063,37.4553644,67.3597798,51.37350391,68.52150618,58.65754778,27.47347495,Not Malicious
48 21 A7 C7 31 29 80 38-07 55 6D B0 85 47 7D 5A,5.553399771,11.81318449,76.28667077,2.756306212,21.42474319,8.067023839,53.72168853,Partially Malicious
33 8E 6A 8A 9F 28 2B 40-B9 74 3D 39 07 43 4E A7,28.35426423,92.19779838,63.10115413,44.96659629,55.13849824,44.39514341,41.28039155,Partially Malicious
74 BE 69 C1 47 0E BE 2C-AA A7 85 56 9A 62 28 39,76.91443329,22.7741524,65.39220452,34.18468945,79.80651982,41.65476555,12.99785269,Malicious
5C 50 4D 70 5B 96 8F 85-4C C4 0F 62 4E B4 17 28,4.047811485,73.55054543,39.12670948,44.77512948,3.436624916,71.58772484,77.23436655,Not Malicious
6E C7 13 2F 2C 9B 22 32-8D 6E 8D 16 73 9B 13 6C,48.53259399,74.27282146,43.26317502,36.4732593,27.11936125,60.9656406,78.8115492,Partially Malicious
67 13 83 AC 58 2F 7E 15-05 50 A9 36 5E 0F 54 3D,5.665989695,7.833886024,31.10941394,22.4598308,82.89303183,52.22422567,99.52471316,Not Malicious
B9 B5 81 B9 66 AC 10 60-2C 57 9B 70 54 49 73 7C,45.83358521,41.82449378,11.37601691,30.01678571,5.01901315,70.4972512,77.89052569,Partially Malicious
29 9A C4 20 75 A2 2C BB-40 BD 71 90 81 41 3E 93,27.91709316,27.47470867,30.19873641,81.61499514,4.161231017,82.78967616,50.37803131,Partially Malicious
45 5A 9A 4A 0D 4B 50 06-A5 06 A2 5A 41 25 5E 11,61.05758268,98.05978348,67.30046747,14.84568415,45.94172619,78.12873264,91.82857374,Not Malicious
1E 7D 53 BB 26 9A 25 9E-9F BD 17 46 79 7C 92 2A,41.77124824,48.20629035,44.93851031,71.30310763,43.92313043,94.25940381,46.24144916,Malicious
8E 7F 98 54 62 A9 84 AA-16 2E 76 2A 76 8D 15 71,30.51183043,72.40926919,85.25672369,70.07754643,79.40756334,88.53841023,36.40392136,Malicious
C1 C7 65 62 46 00 84 C7-8C B8 10 AE 7F 74 17 34,83.57845904,16.38672423,0.880137263,11.71321469,34.55477357,85.34058798,90.97452363,Partially Malicious
4A 70 50 74 40 6F 3D 61-4C 23 0D 7E B3 33 2B 4E,26.06367039,88.26380218,75.16257269,11.57615878,7.155986693,79.09029008,69.98967272,Not Malicious
9D 6E 58 7D AB B7 89 32-55 37 92 11 72 47 6D 79,72.37257242,62.28822528,26.4666733,16.13125814,97.67588924,95.12200235,71.64772524,Not Malicious
